2018-12-19 00:11:47, puntCAT, 109.69.8.51, ONLINE, 0, 286ms
2018-12-19 00:11:58, Neustar, 156.154.71.1, ONLINE, 0, 806ms
2018-12-19 00:12:08, CleanBrowsing, 185.228.168.9, ONLINE, 0, 28ms
2018-12-19 00:12:18, CenturyLink Level 3, 209.244.0.4, ONLINE, 0, 36ms
2018-12-19 00:12:28, Verisign, 64.6.64.6, ONLINE, 0, 120ms
2018-12-19 00:12:38, Google, 8.8.4.4, ONLINE, 0, 59ms
2018-12-19 00:12:48, Quad, 9.9.9.9, ONLINE, 0, 26ms
2018-12-19 00:12:58, DNS Watch, 84.200.69.80, ONLINE, 0, 128ms
2018-12-19 00:13:08, Comodo Secure DNS, 8.20.247.20, ONLINE, 0, 39ms
2018-12-19 00:13:18, OpenDNS Home, 208.67.222.222, ONLINE, 0, 27ms
2018-12-19 00:13:28, Cloudflare, 1.0.0.1, ONLINE, 0, 27ms
2018-12-19 00:13:38, FreeDNS, 45.33.97.5, ONLINE, 0, 49ms
2018-12-19 00:13:53, Alternate DNS, 198.101.242.72, OFFLINE, 1, 0m
2018-12-19 00:14:04, Dyn, 216.146.35.35, ONLINE, 0, 47ms
2018-12-19 00:14:14, SafeDNS, 195.46.39.40, ONLINE, 0, 127ms
2018-12-19 00:14:27, OpenNIC, 198.206.14.241, SLOW, 1, 3156ms
2018-12-19 00:14:37, Yandex DNS, 77.88.8.1, ONLINE, 0, 143ms
2018-12-19 00:14:47, UncensoredDNS, 89.233.43.71, ONLINE, 0, 112ms
